ID_ORGANIGRAMME,DATE_FIN,DATE_DEBUT,DATE_VERROU,LABEL,DELETED,UTILISATEUR_VERROU,ID_PARENT_ENTITE,ID_PARENT_UNITE,ID_PARENT_INSTITUTION,TYPE,FUNCTION_READ,NOR_DIRECTION
50000992,null,2007-02-08 01:00:00.0,null,DGR (MEDAD),0,null,50000976,null,null,UST,null,null
50000993,null,2007-02-08 01:00:00.0,null,DSCR (MEDAD),0,null,50000976,null,null,UST,null,null
50000994,null,2007-02-08 01:00:00.0,null,DGAC (MEDAD),0,null,50000976,null,null,UST,null,null
50000995,null,2007-02-08 01:00:00.0,null,"Dir. rech., aff. scien. et tech. (DRAST)",0,null,null,50000991,null,DIR,null,null
50000608,null,2007-06-08 02:00:00.0,null,DGE (Economie),0,null,50000507,null,null,UST,null,null
50000610,null,2006-05-04 02:00:00.0,null,Cabinet du Premier ministre,0,null,50000607,null,null,UST,null,null
50000996,null,2007-02-08 01:00:00.0,null,Dir. des aff. éco. et internat. (DAEI),0,null,null,50000991,null,DIR,null,null
50000997,null,2007-02-08 01:00:00.0,null,SG/SPA/M,0,null,null,50000991,null,UST,null,null
50000998,null,2007-02-08 01:00:00.0,null,DGMT (MEDAD),0,null,50000976,null,null,UST,null,null
50000999,null,2007-02-08 01:00:00.0,null,ENIM (MEDAD),0,null,50000976,null,null,UST,null,null
50001000,null,2007-02-08 01:00:00.0,null,Inspections générales (IG hors CGPC),0,null,50000976,null,null,UST,null,null
50001001,null,2007-02-08 01:00:00.0,null,Sec. gal au tunnel sous la Manche,0,null,50000976,null,null,UST,null,null
50001002,null,2007-06-04 02:00:00.0,null,Direction du tourisme (Economie),0,null,50000507,null,null,DIR,null,null
50001003,null,2007-02-08 01:00:00.0,null,Dir. de la régulation éco. (DRE),0,null,null,50000994,null,DIR,null,null
50001004,null,2007-02-08 01:00:00.0,null,Dir. des aff. strat. et tech. (DAST),0,null,null,50000994,null,DIR,null,null
50001005,null,2007-02-08 01:00:00.0,null,Dir. des prog. aéro. et de coopé. (DPAC),0,null,null,50000994,null,DIR,null,null
50001006,null,2007-02-08 01:00:00.0,null,Dir. du contrôle et de la sécur. (DCS),0,null,null,50000994,null,DIR,null,null
50001009,null,2007-02-09 01:00:00.0,null,Sec. Etat coopération et francophonie,0,null,50000937,null,null,DIR,null,null
50001010,null,2007-02-12 01:00:00.0,null,Dir. ressources humaines MAE,0,null,null,50000947,null,DIR,null,null
50001011,null,2007-02-12 01:00:00.0,null,Dir. affaires financières MAE,0,null,null,50000947,null,DIR,null,null
50001012,null,2007-02-12 01:00:00.0,null,Serv. affaires juridiques internes MAE,0,null,null,50000947,null,UST,null,null
50001021,null,2007-02-13 01:00:00.0,null,DAJ (Economie),0,null,50000507,null,null,UST,null,null
50001022,null,2007-02-13 01:00:00.0,null,IGF (Economie),0,null,50000507,null,null,UST,null,null
50001023,null,2007-02-13 01:00:00.0,null,INSEE (Economie),0,null,50000507,null,null,UST,null,null
50001024,null,2007-02-13 01:00:00.0,null,Contrôle gal éco et financier (Economie),0,null,50000507,null,null,UST,null,null
50001025,null,2007-02-13 01:00:00.0,null,Ht fonctionnaire défense (Economie),0,null,50000507,null,null,UST,null,null
50001026,null,2007-06-07 02:00:00.0,null,BDC secrétariat Etat Outre-mer,0,null,50000632,null,null,UST,null,null
50001032,null,2007-02-08 01:00:00.0,null,Secrétariat général DGAC,0,null,null,50000994,null,UST,null,null
50001033,null,2007-02-08 01:00:00.0,null,Dir. des serv. de la navig. aér. (DSNA),0,null,null,50000994,null,DIR,null,null
50001034,null,2007-02-08 01:00:00.0,null,Dir. des trans. ferrov. et coll. (DTFC),0,null,null,50000998,null,DIR,null,null
50001035,null,2007-02-08 01:00:00.0,null,"Dir. trans. mar., rout. et fluv. (DTMRF)",0,null,null,50000998,null,DIR,null,null
50001036,null,2007-02-08 01:00:00.0,null,Dir. des aff. maritimes (DAM),0,null,null,50000998,null,DIR,null,null
50001043,null,2007-02-14 01:00:00.0,null,Cabinet du ministre (Min. SJS),0,null,50000975,null,null,UST,null,null
50001044,null,2007-02-14 01:00:00.0,null,"Dir adm gén personnel, budg (Min. SJS)",0,null,50000975,null,null,DIR,null,null
50001046,null,2007-02-14 01:00:00.0,null,Dir. gén. de la santé (Min. SJS),0,null,50000975,null,null,DIR,null,null
50001047,null,2007-02-14 01:00:00.0,null,Dir. hospit. et org. soins (Min. SJS),0,null,50000975,null,null,DIR,null,null
50001048,null,2007-02-14 01:00:00.0,null,Dir. de la sécurité sociale (Min. SJS),0,null,50000975,null,null,DIR,null,null
50001049,null,2007-02-14 01:00:00.0,null,"Dir. rech, études, stats (Min. SJS)",0,null,50000975,null,null,DIR,null,null
50001050,null,2007-02-14 01:00:00.0,null,Agce sécu. san prod santé (Min. SJS),0,null,50000975,null,null,UST,null,null
50001051,null,2007-02-14 01:00:00.0,null,UNCAM (Min. SJS),0,null,50000975,null,null,UST,null,null
50001052,null,2007-02-14 01:00:00.0,null,Autorité sûreté nucléaire (Min. SJS),0,null,50000975,null,null,UST,null,null
50001053,null,2007-02-14 01:00:00.0,null,Etablissement frçs du sang (Min. SJS),0,null,50000975,null,null,UST,null,null
50001054,null,2007-02-14 01:00:00.0,null,Agence biomédecine (Min. SJS),0,null,50000975,null,null,UST,null,null
50001055,null,2007-02-14 01:00:00.0,null,Agence vétérinaire (Min. SJS),0,null,50000975,null,null,UST,null,null
50001056,null,2007-06-04 02:00:00.0,null,Délég. interm famille (MTS),0,null,50000969,null,null,UST,null,null
50001057,null,2007-06-04 02:00:00.0,null,CGIET (Economie),0,null,50000507,null,null,UST,null,null
50001082,null,2007-06-04 02:00:00.0,null,Délég. interm pers. handic. (MTS),0,null,50000969,null,null,UST,null,null
50001085,null,2007-06-07 02:00:00.0,null,DCASPL Obsolète,0,null,50000507,null,null,UST,null,null
50001086,null,2007-02-20 01:00:00.0,null,Cabinet du garde des sceaux,0,null,50000972,null,null,UST,null,null
50001087,null,2007-02-20 01:00:00.0,null,Direction des services judiciaires,0,null,50000972,null,null,DIR,null,null
50001088,null,2007-02-20 01:00:00.0,null,Direction des aff. civiles et du sceau,0,null,50000972,null,null,DIR,null,null
50001089,null,2007-02-20 01:00:00.0,null,Dir. des aff. criminelles et des grâces,0,null,50000972,null,null,DIR,null,null
50001090,null,2007-02-20 01:00:00.0,null,Dir. protection jud. de la jeunesse,0,null,50000972,null,null,DIR,null,null
50001091,null,2007-02-20 01:00:00.0,null,Dir. admin. gale et équipement,0,null,50000972,null,null,DIR,null,null
50001092,null,2007-02-20 01:00:00.0,null,Ecole nationale de la magistrature,0,null,50000972,null,null,UST,null,null
50001093,null,2007-02-20 01:00:00.0,null,Services aff. européennes et internat.,0,null,50000972,null,null,UST,null,null
50001094,null,2007-02-20 01:00:00.0,null,Serv. accès droit et just. polit. ville,0,null,50000972,null,null,UST,null,null
50001095,null,2007-02-20 01:00:00.0,null,Direction de l'admin. pénitentiaire,0,null,50000972,null,null,DIR,null,null
50001096,null,2007-02-20 01:00:00.0,null,Décret changement de noms,0,null,50000972,null,null,UST,null,null
50001103,null,2007-02-21 01:00:00.0,null,(vide) Délégation gale pour l'armement,0,null,50000967,null,null,UST,null,null
50001104,null,2007-02-21 01:00:00.0,null,Bureau des officiers généraux,0,null,50000967,null,null,UST,null,null
50001105,null,2007-02-21 01:00:00.0,null,(vide) Contrôle général des armées,0,null,50000967,null,null,UST,null,null
50001106,null,2007-02-21 01:00:00.0,null,Dir. des affaires juridiques (Défense),0,null,50000967,null,null,DIR,null,null
50001117,null,2007-06-07 02:00:00.0,null,(p. mémoire) Cab aménagt du territoire,0,null,50000976,null,null,UST,null,null
50001118,null,2007-06-07 02:00:00.0,null,(p. mémoire) Cab coll territoriales,0,null,50000632,null,null,UST,null,null
50001132,null,2007-02-21 01:00:00.0,null,(vide) Dir. affaires financières (DEF),0,null,50000967,null,null,DIR,null,null
50001133,null,2007-06-08 02:00:00.0,null,(vide) Dir. gale de la gendarmerie nat.,0,null,50000967,null,null,DIR,null,null
50001134,null,2007-02-21 01:00:00.0,null,Dir. des ressources humaines (Défense),0,null,50000967,null,null,DIR,null,null
50001135,null,2007-02-21 01:00:00.0,null,Etat-major des armées,0,null,50000967,null,null,UST,null,null
50001136,null,2007-02-21 01:00:00.0,null,Etat-major de l'armée de l'air,0,null,50000967,null,null,UST,null,null
50001137,null,2007-08-13 02:00:00.0,null,Sous-dir. BDC (Défense),0,null,50000967,null,null,DIR,null,null
50001138,null,2007-02-21 01:00:00.0,null,(vide) Etat-major de la marine,0,null,50000967,null,null,UST,null,null
50001139,null,2007-02-21 01:00:00.0,null,"(vide) Dir mémoire, patrimoine, archives",0,null,50000967,null,null,DIR,null,null
50001140,null,2007-02-21 01:00:00.0,null,(vide) Etat-major de l'armée de terre,0,null,50000967,null,null,UST,null,null
50001147,null,2007-08-13 02:00:00.0,null,BDC Défense,0,null,null,50001137,null,UST,null,null
50001153,null,2007-02-21 01:00:00.0,null,Ss-dir. droit public et privé (Défense),0,null,null,50001106,null,UST,null,null
50001154,null,2007-02-21 01:00:00.0,null,Ss-dir droit internat et europ (Défense),0,null,null,50001106,null,UST,null,null
50001155,null,2007-02-21 01:00:00.0,null,Division des affaires pénales militaires,0,null,null,50001106,null,UST,null,null
50001163,null,2007-02-08 01:00:00.0,null,DGT,0,null,50000969,null,null,UST,null,null
50001164,null,2007-02-08 01:00:00.0,null,DAGEMO,0,null,50000969,null,null,UST,null,null
50001165,null,2007-02-08 01:00:00.0,null,DPM (MTS),0,null,50000969,null,null,UST,null,null
50001166,null,2007-06-04 02:00:00.0,null,DGEFP (Economie),0,null,50000507,null,null,UST,null,null
50001167,null,2007-02-08 01:00:00.0,null,IGAS (MTS),0,null,50000969,null,null,UST,null,null
50001168,null,2007-06-07 02:00:00.0,null,DGUHC (Logement),0,null,50001886,null,null,UST,null,null
50001169,null,2007-02-08 01:00:00.0,null,SDFE (MTS),0,null,50000969,null,null,UST,null,null
50001170,null,2007-02-08 01:00:00.0,null,DAGPB (MTS),0,null,50000969,null,null,UST,null,null
50001171,null,2007-06-07 02:00:00.0,null,DIV (Logement),0,null,50001886,null,null,UST,null,null
50001172,null,2007-02-08 01:00:00.0,null,DIIESES (MTS),0,null,50000969,null,null,UST,null,null
50001173,null,2007-02-08 01:00:00.0,null,DARES (MTS),0,null,50000969,null,null,UST,null,null
50001174,null,2007-02-08 01:00:00.0,null,DILTI (MTS),0,null,50000969,null,null,UST,null,null
50001175,null,2007-02-08 01:00:00.0,null,DAEI (MTS),0,null,50000969,null,null,UST,null,null
50001211,null,2007-02-08 01:00:00.0,null,DGAS (MTS),0,null,50000969,null,null,UST,null,null
50001248,null,2006-05-04 02:00:00.0,null,Bureau des Cabinets (Intérieur),0,null,50000632,null,null,UST,null,null
50001249,null,2006-05-04 02:00:00.0,null,Secrétariat général (Intérieur),0,null,50000632,null,null,UST,null,null
50001263,null,2007-02-27 01:00:00.0,null,Bureau Cab éducation (Min. Educ.),0,null,50000968,null,null,UST,null,null
50001264,null,2007-02-27 01:00:00.0,null,Dir. gale de l'enseignement scolaire,0,null,50000968,null,null,DIR,null,null
50001265,null,2007-06-04 02:00:00.0,null,Dir. gale de l'enseignement supérieur,0,null,50000940,null,null,DIR,null,null
50001266,null,2007-06-04 02:00:00.0,null,Dir. gale recherche et  innovation,0,null,50000940,null,null,DIR,null,null
50001267,null,2007-02-27 01:00:00.0,null,Secrétariat général (Min. Educ.),0,null,50000968,null,null,UST,null,null
50001268,null,2007-02-27 01:00:00.0,null,Direction générale RH (Min. Educ.),0,null,50000968,null,null,DIR,null,null
50001269,null,2007-02-27 01:00:00.0,null,Direction de l'encadrement (Min. Educ.),0,null,50000968,null,null,DIR,null,null
50001270,null,2007-02-27 01:00:00.0,null,Dir. affaires financières (Min. Educ.),0,null,50000968,null,null,DIR,null,null
50001271,null,2007-02-27 01:00:00.0,null,Dir. affaires juridiques (Min. Educ.),0,null,50000968,null,null,DIR,null,null
50001283,null,2007-02-27 01:00:00.0,null,Cabinet Sécrétariat général,0,null,null,50001249,null,UST,null,null
50001285,null,2007-02-27 01:00:00.0,null,Secrétariat général - DMAT,0,null,null,50001249,null,UST,null,null
50001286,null,2007-02-27 01:00:00.0,null,Secrétariat général - DRH (A),0,null,null,50001249,null,UST,null,null
50001287,null,2007-02-27 01:00:00.0,null,Secrétariat général - DEPAFI (F),0,null,null,50001249,null,UST,null,null
50001288,null,2007-02-27 01:00:00.0,null,Secrétariat général - DSIC (G),0,null,null,50001249,null,UST,null,null
50001306,null,2007-02-27 01:00:00.0,null,Sous-dir. élus locaux et fpt,0,null,null,50000866,null,UST,null,null
50001307,null,2007-02-27 01:00:00.0,null,Sous-dir. finances locales et action éco,0,null,null,50000866,null,UST,null,null
50001308,null,2007-02-27 01:00:00.0,null,Sous-dir. compétences et instit. loc.,0,null,null,50000866,null,UST,null,null
50001309,null,2007-06-04 02:00:00.0,null,BDC sports,0,null,50000975,null,null,UST,null,null
50001311,null,2007-06-04 02:00:00.0,null,"DRH, Adm. et coordination gale (SJS)",0,null,50000975,null,null,UST,null,null
50001313,null,2007-06-05 02:00:00.0,null,Direction des sports,0,null,50000975,null,null,DIR,null,null
50001315,null,2009-01-19 01:00:00.0,null,"Dir jeunesse, éduc pop et vie asso",0,null,50000607,null,null,DIR,null,null
50001317,null,2007-06-04 02:00:00.0,null,"Dir. vie asso, emploi, formations",0,null,50000975,null,null,DIR,null,null
50001332,null,2007-02-28 01:00:00.0,null,DGPN Cabinet,0,null,null,50000666,null,UST,null,null
50001364,null,2007-02-28 01:00:00.0,null,DLPAJ Cabinet,0,null,null,50000867,null,UST,null,null
50001365,null,2007-02-28 01:00:00.0,null,Sous-dir. des libertés publiques,0,null,null,50000867,null,UST,null,null
50001367,null,2008-12-01 01:00:00.0,null,Sous-dir. circ. et sécurité routière,0,null,null,50001285,null,UST,null,null
50001369,null,2007-03-01 01:00:00.0,null,DGUHC (MEDAD),0,null,50000976,null,null,UST,null,null
50001386,null,2007-03-02 01:00:00.0,null,DDSC cabinet,0,null,null,50000868,null,UST,null,null
50001387,null,2007-03-02 01:00:00.0,null,Sous-dir. gestion des risques,0,null,null,50000868,null,UST,null,null
50001388,null,2007-03-02 01:00:00.0,null,Sous-dir. sapeurs pompiers et act. sec.,0,null,null,50000868,null,UST,null,null
50001389,null,2007-03-02 01:00:00.0,null,Sous-dir. administration et logistique,0,null,null,50000868,null,UST,null,null
50001395,null,2007-03-02 01:00:00.0,null,BDC Culture,0,null,50000966,null,null,UST,null,null
50001396,null,2007-03-02 01:00:00.0,null,Dir. administration gale (Culture),0,null,50000966,null,null,DIR,null,null
50001397,null,2007-03-02 01:00:00.0,null,Direction des archives de France,0,null,50000966,null,null,DIR,null,null
50001398,null,2007-03-02 01:00:00.0,null,Direction du livre et de la lecture,0,null,50000966,null,null,DIR,null,null
50001399,null,2007-03-02 01:00:00.0,null,Direction des musées de France,0,null,50000966,null,null,DIR,null,null
50001400,null,2007-03-02 01:00:00.0,null,"Dir. musique, danse, théâtre et spect.",0,null,50000966,null,null,DIR,null,null
50001401,null,2007-03-02 01:00:00.0,null,Délégation aux arts plastiques,0,null,50000966,null,null,UST,null,null
50001402,null,2007-03-02 01:00:00.0,null,Centre national de la cinématographie,0,null,50000966,null,null,UST,null,null
50001403,null,2007-03-02 01:00:00.0,null,Dir. de l'architecture et du patrimoine,0,null,50000966,null,null,DIR,null,null
50001404,null,2007-03-02 01:00:00.0,null,Direction du développement des médias,0,null,50000966,null,null,DIR,null,null
50001405,null,2007-03-02 01:00:00.0,null,Secrétariat gal de la défense nationale,0,null,50000607,null,null,UST,null,null
50001442,null,2007-03-02 01:00:00.0,null,Dir gale de l'admin. et de la FP (DGAFP),0,null,50000607,null,null,DIR,null,null
50001443,null,2007-03-09 01:00:00.0,null,BDC Agriculture,0,null,50000938,null,null,UST,null,null
50001444,null,2007-03-09 01:00:00.0,null,Secrétariat général (AGR),0,null,50000938,null,null,UST,null,null
50001445,null,2007-03-09 01:00:00.0,null,Dir. gale forêt et affaires rurales,0,null,50000938,null,null,DIR,null,null
50001446,null,2007-03-09 01:00:00.0,null,"Dir. gale pol. éco., eur. et internat.",0,null,50000938,null,null,DIR,null,null
50001447,null,2007-03-09 01:00:00.0,null,Dir. gale enseign. et recherche Agricult,0,null,50000938,null,null,DIR,null,null
50001448,null,2007-03-09 01:00:00.0,null,Dir gale de l'alimentation (AGR),0,null,50000938,null,null,DIR,null,null
50001449,null,2007-03-09 01:00:00.0,null,Dir. pêches marit. et aquaculture,0,null,50000938,null,null,DIR,null,null
50001460,null,2007-03-12 01:00:00.0,null,Sous-dir. fonction militaire,0,null,null,50001134,null,UST,null,null
50001461,null,2007-03-12 01:00:00.0,null,"Ss-dir rel. soc, statuts, filières (Déf)",0,null,null,50001134,null,UST,null,null
50001462,null,2007-03-12 01:00:00.0,null,Ss-dir gestion collect. pers civil (Déf),0,null,null,50001134,null,UST,null,null
50001545,null,2007-06-04 02:00:00.0,null,Bureau Cab recherche,0,null,50000940,null,null,UST,null,null
50001559,null,2007-03-27 02:00:00.0,null,Dir. services admin et financiers (DSAF),0,null,50000607,null,null,DIR,null,null
50001604,null,2007-03-29 02:00:00.0,null,DAPN,0,null,null,50000666,null,UST,null,null
50001605,null,2007-03-29 02:00:00.0,null,DFPN,0,null,null,50000666,null,UST,null,null
50001606,null,2007-03-29 02:00:00.0,null,DCPJ,0,null,null,50000666,null,UST,null,null
50001607,null,2007-03-29 02:00:00.0,null,DCCRS,0,null,null,50000666,null,UST,null,null
50001608,null,2007-03-29 02:00:00.0,null,IGPN,0,null,null,50000666,null,UST,null,null
50001609,null,2007-03-29 02:00:00.0,null,SCTIP,0,null,null,50000666,null,UST,null,null
50001610,null,2007-03-29 02:00:00.0,null,DCSP,0,null,null,50000666,null,UST,null,null
50001611,null,2007-03-29 02:00:00.0,null,DCPAF,0,null,null,50000666,null,UST,null,null
50001612,null,2007-03-29 02:00:00.0,null,Sous-dir admin. gale finances DAPN,0,null,null,50001604,null,UST,null,null
50001613,null,2007-03-29 02:00:00.0,null,Sous-dir ressources humaines DAPN,0,null,null,50001604,null,UST,null,null
50001620,null,2007-03-29 02:00:00.0,null,Secrétariat général (Culture),0,null,null,50001396,null,UST,null,null
50001650,null,2007-03-29 02:00:00.0,null,Sous-dir affaires juridiques (Culture),0,null,null,50001396,null,UST,null,null
50001651,null,2007-03-29 02:00:00.0,null,Sous-dir affaires financières (Culture),0,null,null,50001396,null,UST,null,null
50001652,null,2007-03-29 02:00:00.0,null,"Service personnel, aff. soc. (Culture)",0,null,null,50001396,null,UST,null,null
50001653,null,2007-03-29 02:00:00.0,null,Dél. au dév. et aff. internat. (Culture),0,null,null,50001396,null,UST,null,null
50001681,null,2007-02-27 01:00:00.0,null,"Dir. éval, prospect et perf. (Min. Educ)",0,null,50000968,null,null,DIR,null,null
50001682,null,2007-02-27 01:00:00.0,null,"D. relat. eur, internat, coop (Min Educ)",0,null,50000968,null,null,DIR,null,null
50001683,null,2007-02-27 01:00:00.0,null,"Serv action admin., modernis. (Min Educ)",0,null,50000968,null,null,UST,null,null
50001684,null,2007-02-27 01:00:00.0,null,IGEN/IGAENR (Min. Educ.),0,null,50000968,null,null,UST,null,null
50001710,null,2007-02-08 01:00:00.0,null,Secrétariat général DGMT,0,null,null,50000998,null,UST,null,null
50001732,null,2007-04-02 02:00:00.0,null,Cabinet Agriculture,0,null,50000938,null,null,UST,null,null
50001734,null,2007-03-02 01:00:00.0,null,Dél. gale à la langue française (DGLF),0,null,50000966,null,null,UST,null,null
50001741,null,2007-04-04 02:00:00.0,null,Comité entreprises assurances (CEA),0,null,null,50000659,null,UST,null,null
50001742,null,2007-04-04 02:00:00.0,null,(CEA) Comité entreprises assurances,0,null,null,50001741,null,UST,null,null
50001745,null,2007-04-04 02:00:00.0,null,Secrétariat général central (AGR),0,null,null,50001444,null,UST,null,null
50001746,null,2007-04-04 02:00:00.0,null,Secrétariat gén - Aff juridiques (AGR),0,null,null,50001444,null,UST,null,null
50001747,null,2007-04-04 02:00:00.0,null,Sec gén - Mobilité / carrières (AGR),0,null,null,50001444,null,UST,null,null
50001748,null,2007-04-04 02:00:00.0,null,Sec gén - RH (AGR),0,null,null,50001444,null,UST,null,null
50001813,null,2007-02-13 01:00:00.0,null,Conseil de la concurrence (Economie),0,null,50000507,null,null,UST,null,null
50001814,null,2007-11-20 01:00:00.0,null,Conseil de la concurrence (Economie),0,null,null,null,null,UST,null,null
50001828,null,2007-05-02 02:00:00.0,null,(CEA) Comité entreprises assurances,0,null,null,null,null,UST,null,null
50001882,null,2007-02-14 01:00:00.0,null,Direction Santé (à préciser),0,null,50000975,null,null,DIR,null,null
50001907,null,2007-05-29 02:00:00.0,null,Cabinet du ministère de l'immigration,0,null,50001885,null,null,UST,null,null
50001912,null,2007-05-30 02:00:00.0,null,DGAFP,0,null,50013998,null,null,UST,null,null
50001917,null,2007-05-30 02:00:00.0,null,Bureau des cabinets (BCF),0,null,50013998,null,null,UST,null,null
50001923,null,2007-05-31 02:00:00.0,null,DCASPL PME (Economie),0,null,50000507,null,null,UST,null,null
50001926,null,2006-05-04 02:00:00.0,null,DéGéOM (Outre-Mer),0,null,50000632,null,null,UST,null,null
50001929,null,2007-06-01 02:00:00.0,null,DGTPE-EXT (Economie),0,null,50000507,null,null,UST,null,null
50001932,null,2007-06-01 02:00:00.0,null,DGI - DLF (Economie),0,null,50000507,null,null,UST,null,null
